Rock_Type,Porosity,Permeability,Trap_Type,Seismic_Score,Proximity_to_Oil_Field,Estimated_Reservoir_Depth,Oil_Presence
Limestone,17.667992248366925,834.2774716830587,None,0.7059325391660635,2.431354554240388,2228.0,1
Limestone,27.66575784153853,578.1580343906811,None,0.5458064856189166,2.6061575229330955,1610.0,0
Sandstone,28.85594623043996,404.79068472927247,None,0.1675304883042765,1.1431362932448643,2344.0,0
Sandstone,0.4109565122674363,887.8366734954275,Dome,0.026851954,2.6735317963985428,,0
Shale,16.490538409697347,562.2888023922533,None,,2.0644401493267903,,0
Shale,16.654791893704644,979.1547836002072,Anticline,0.044456614,4.927771473864251,3556.0,1
Limestone,8.342985451990693,,Fault,,0.4393391793391438,,0
Shale,13.11154565526563,263.80664411970764,Fault,0.3750412944949018,4.602918595445432,,0
Shale,,,Fault,,0.6728042533643175,867.0,0
Sandstone,28.418999982602006,728.1063284167923,Anticline,0.1943209733839072,4.097615610479682,,0
Limestone,,33.59159718497384,Fault,0.7515463074381062,,2909.0,1
Limestone,8.582697660937818,734.7339174894475,Fault,,,989.0,1
Shale,12.221468373574211,,Anticline,0.002468503,3.759427143094821,3371.0,0
Sandstone,14.973259743228196,634.1815908237148,Fault,,4.130235932686231,4155.0,1
Limestone,21.51361705416581,481.2427330125042,Fault,,,,1
Sandstone,27.100080195681155,415.34959468715306,Fault,0.262535695495924,,,0
Limestone,,989.5304395413664,Fault,0.1510131174271062,1.1960002058466537,,0
Sandstone,,286.0760246118568,None,0.972293584,0.565441445,916.0,0
Sandstone,24.68108765151619,926.2819662,Fault,0.5663996947604685,3.502660577959986,,0
Sandstone,16.793871665392928,,Anticline,0.3683973702210215,,889.0,0
Sandstone,24.16577740728171,930.5987384063446,Dome,,4.622035604,,1
Shale,12.704460277479985,268.5770756383549,Anticline,0.3998664630365941,0.9394875997220088,618.0,0
Limestone,24.56240431152575,,Fault,,,,1
Limestone,27.45501413923665,85.54256832457025,Anticline,0.0424307372486445,4.491105152302406,1853.0,0
Shale,22.04277866548136,467.3440950980539,Anticline,,0.9246253835458446,3171.0,0
Shale,15.881718640426003,818.0587612502019,Fault,0.40116516,,,1
Limestone,19.193256047112676,,Fault,,,,1
Limestone,8.677317084590046,,None,,4.474661893329106,3630.0,0
Shale,23.646027896001183,873.5996978849483,Anticline,0.05055571,0.7842682618428609,,1
Limestone,,805.2062877826419,None,,1.5914257655823412,,0
Sandstone,6.939425467868805,775.5227203791055,Dome,0.9464028250221004,0.6530452377138107,,1
Limestone,25.654960349144183,,Anticline,,3.5295905529913747,4751.0,0
